geoid,knoopnr,naam,lat,lon
5490,33,FNW,51.14065440774392,5.143956106035935
5503,31,FNW,51.15639512511778,5.172889060362054
5506,32,FNW,51.150719465926336,5.198299423034854
5507,24,FNW,51.15240347611282,5.21197495896152
5510,30,FNW,51.15565655294354,5.240855101169156
5513,60,FNW,51.182131872513935,5.259507147942472
5519,59,FNW,51.17286987246393,5.213139643600514
5529,34,FNW,51.14032739385344,5.142202110621557
5538,57,FNW,51.17321452256165,5.1505874216718
5541,29,FNW,51.17209451193967,5.149380496542727
5566,7,FNW,51.172210840456714,5.200958936247851
5617,22,FNW,51.111575036969505,5.109599477038985
5622,67,FNW,51.123653743783045,5.114339212114538
5634,65,FNW,51.13540722910605,5.083298908965904
5641,66,FNW,51.127632404785295,5.079942116467097
5655,46,FNW,51.11461573040186,5.069550626376683
5661,11,FNW,51.09932439605719,5.10562077528971
5676,41,FNW,51.12579693312025,4.984762881133312
5677,64,FNW,51.14970471534369,4.897382037923484
5678,10,FNW,51.134285690155,4.98792563295014
5679,16,FNW,51.13922359182444,4.995106396820863
5690,42,FNW,51.13568292219929,5.03619628126084
5697,44,FNW,51.12206949285674,5.061532741814871
5713,9,FNW,51.15245433525477,5.017568560136732
5718,8,FNW,51.151862454768654,5.033391041632725
5722,54,FNW,51.148661653637404,5.056264506506797
5735,36,FNW,51.16716642188843,5.111371602021691
5738,19,FNW,51.17658022578296,5.12186914290337
5754,35,FNW,51.15024204871627,5.125819495603688
5766,43,FNW,51.14068710696439,5.088427704624984
5873,81,FNW,51.15953311573436,5.012746526284245
5926,59,FNW,51.03799934008909,4.789709749289011
5928,60,Fietsnetwerk Vlaams-Brabant,51.025237129806655,4.77535204005976
5942,85,FNW,51.07386948355394,4.823897228201106
5952,99,FNW,51.08833980342725,4.776703396949699
5961,42,FNW,51.10592353014534,4.817025920609829
5969,93,FNW,51.083038694972046,4.730867710351681
5976,77,FNW,51.071107969930885,4.723687137348189
5985,96,FNW,51.05961748891363,4.75569839305558
5991,29,FNW,51.09014841682703,4.723471898742446
5995,38,FNW,51.07888657121893,4.691846970694287
5998,25,FNW,51.09872718511031,4.721858804701866
6006,51,FNW,51.12103985642741,4.779333828187654
6010,26,FNW,51.11760008719581,4.802508222059259
6013,50,FNW,51.13426531492792,4.751638379479681
6022,33,FNW,51.12880127999487,4.720715381280208
6034,52,FNW,51.0954649522691,4.670904276005384
6037,32,FNW,51.123382213008156,4.680326566642991
6046,34,FNW,51.13406112098606,4.717600395505922
6054,22,FNW,51.157552547349646,4.734609522650561
6057,23,FNW,51.15319145666173,4.700774613678059
6063,25,FNW,51.17303374672523,4.68141986717768
6070,24,FNW,51.15058240093791,4.67424834223827
6097,76,FNW,51.158968731879035,4.607427158694316
6105,75,FNW,51.17540643475664,4.634945118847097
6113,16,FNW,51.127549888675894,4.648341470071513
6114,28,FNW,51.126338896000895,4.64584451235776
6117,72,FNW,51.11366124997595,4.63799400602494
6123,39,FNW,51.07391137755444,4.631446772149485
6129,49,FNW,51.103053219506386,4.582695726751705
6138,30,FNW,51.128984541554935,4.591732052555532
6141,20,FNW,51.13507533272056,4.588620109435723
6145,5,FNW,51.12709245557931,4.571193678660442
6149,89,FNW,51.13859612287806,4.570896536919393
6154,88,FNW,51.14288303804016,4.579198196587257
6159,88,FNW,51.14368500885379,4.580896131719543
6162,87,FNW,51.15920459275123,4.583479835446545
6179,45,FNW,51.15385383029019,4.766502717646353
6361,14,FNW,51.13579274871555,4.663522891761961
6370,10,FNW,51.0137110454548,4.447429883214776
6373,75,Fietsnetwerk Vlaams-Brabant,50.986098463586465,4.470184855861705
6374,45,Fietsnetwerk Vlaams-Brabant,50.99105018849545,4.436754989353751
6380,90,FNW,51.035510266402405,4.421477267062754
6382,79,FNW,51.046904919928224,4.421151114254572
6387,94,FNW,51.06333148434387,4.428156728034441
6388,94,FNW,51.06343648411177,4.427154774401775
6389,52,FNW,51.06999724664335,4.42237775611634
6398,28,FNW,51.084711536569294,4.365079250840944
6404,26,FNW,51.08293663177538,4.380745804334307
6415,50,FNW,51.07787901548317,4.416947842032887
6418,51,FNW,51.07303216666478,4.423126706265059
6419,51,FNW,51.07470013998024,4.424157649140966
6436,21,FNW,51.10675550585163,4.472861814984603
6442,55,FNW,51.07341545633022,4.470450388771473
6444,55,FNW,51.07179248442093,4.470322405908876
6446,56,FNW,51.08600819296655,4.494039469382259
6447,25,FNW,51.07030066571452,4.495006704795471
6449,24,FNW,51.057765043471555,4.494016880709776
6454,98,FNW,51.0422744206146,4.486224352352017
6455,96,FNW,51.041102305899535,4.452986308971955
6456,96,FNW,51.045229165577716,4.449434323016639
6459,97,FNW,51.045070120588456,4.448327363116325
6464,95,FNW,51.0399392753943,4.443004622238044
6473,93,FNW,51.023399891441045,4.467469146644762
6481,92,FNW,51.02925352863767,4.434461054087428
6520,22,FNW,51.11238703645144,4.423480155473012
6523,19,FNW,51.10807641141107,4.462614109357116
6550,24,FNW,51.104389070019074,4.386189309947826
6561,18,FNW,51.10731874950767,4.347950342515398
6567,90,FNW,51.11486432777904,4.313112233265212
6568,34,FNW,51.11996415346797,4.309686263787548
6571,91,FNW,51.11545553537118,4.352809163187418
6573,17,FNW,51.1330641039987,4.361032660140156
6575,30,FNW,51.12992597383458,4.323587778874318
6584,29,FNW,51.09156325535091,4.35427740112242
6594,25,FNW,51.01280928113818,4.387899619359328
6597,53,FNW,51.01743866013363,4.402621081348724
6605,87,FNW,51.026944224578536,4.37115089869754
6621,78,FNW,51.054858527406786,4.392189876606412
6632,28,Fietsnetwerk Vlaams-Brabant,51.01128451342835,4.359623865163007
6635,29,FNW,51.02149830217907,4.360582240991755
6638,86,FNW,51.03507690654186,4.355962143846942
6639,39,FNW,51.06040818943058,4.361967655057224
6676,70,FNW,51.143641811755664,4.329887555136691
6678,32,FNW,51.14758700331602,4.359913990842673
6862,89,Fietsnetwerk Vlaams-Brabant,50.83426960812282,4.745184071526973
6864,76,Fietsnetwerk Vlaams-Brabant,50.836965836890734,4.687229910883111
6870,78,Fietsnetwerk Vlaams-Brabant,50.8072375749015,4.682169158485853
